תאריך,שעה,וידאו,סוג,כיתוב,קישור,צפיות,רשומים,לייקים,תגובות,שמירות,שיתופים,נקטע בגיליון,media_id
2026-07-15,14:36,כן,ריל,"עידו קוף הטמרין בספארי ברמת גן הוכיח שהוא לגמרי היורש של פול התמנון 🐙 אחרי שבחר בספרד לנצח בחצי גמר המונדיאל הראשון - וצדק! לקראת חצי הגמר השני הלילה בין ארגנטינה ואנגליה, עידו החליט: הפעם זה של ארגנטינה ומסי 🇦🇷 קופי הטמרין החלילי, כמו ששמם מעיד, משמיעים ציוצים ושריקות דמויי נגינת חליל. בטבע הם נמצאים במקום אחד בלבד בעולם - בצפון-מערב קולומביה, שם הם מבלים כמעט כל חייהם על ענפי עצים בליקוט צוף פרחים, חרקים וקצת ביצים. הם חיים במבנה משפחתי ייחודי, שבו זוג טמרינים מתרבה - וקבוצה שלמה של ""דודים ודודות"" מסייעים בניהול המשפחה. בספארי חיה משפחה אחת: ההורים תמר ועידו, ושלושת ילדיהם תאודור, תור ותרזה. המין נמצא בסכנת הכחדה חמורה, בעיקר בגלל היעלמות בתי הגידול כתוצאה מכריתת יערות. הספארי וארגוני שמירת טבע אחרים משקיעים מאמצים גדולים כדי לשמר בתי גידול טבעיים ואת בעלי החיים שחיים בהם, וביניהם גם הטמרינים. מה דעתכם, האם התחזית של עידו תתממש הלילה? @safari_israel 📸: דוברות הספארי",https://www.instagram.com/reel/Daz-SObjLZO/,137434,98898,1722,28,75,1302,כן,18104173595111589
2026-07-15,17:46,כן,ריל,"יד האלוהים, מלחמת פוקלנד ונקמה על הדשא: רגע לפני הקרב הגדול הערב, למה ארגנטינה ואנגליה אף פעם לא נפגשות רק למשחק כדורגל? @yoav.zehavi, שליח כאן חדשות למונדיאל",https://www.instagram.com/reel/Da0T_ubEZOp/,53437,37225,1784,30,97,551,לא,17987553284838158
2026-07-16,00:03,לא,תמונה,"מסי רחוק ניצחון אחד מגביע עולם נוסף: ארגנטינה גברה על אנגליה בתום דרמה ענקית, שמרה בחיים את החלום להגן על הכתר ותפגוש את ספרד בגמר המונדיאל. הגמר הגדול ייערך ביום ראשון ב-22:00, ויועבר בשידור חי בכאן 11 @yoavborowitz 📸: REUTERS/Carlos Barria",https://www.instagram.com/p/Da0_KLiDGis/,113176,58283,2403,38,39,69,לא,18407559172156232
2026-07-16,21:35,כן,ריל,במונדיאל הקודם הוא עדיין לא נולד: דין בן השלוש הצליח לחזות בדיוק מרשים את התוצאות של חצאי גמר המונדיאל #כאןבשש @kerenuzan1,https://www.instagram.com/reel/Da3S_c1grKU/,134911,88834,4508,49,203,775,לא,18216856894329145
2026-07-19,09:01,כן,ריל,"למה כדורגל גורם לנו לבכות? ⚽ יהונתן כהן, שישדר הערב את גמר המונדיאל, מספר איך הפך לאוהד כדורגל, ומה הוא מצא ביציע של הפועל ירושלים שגרם לו להרגיש שייך ובטוח. 🎧 ""עד הקצה"" עם @kereneubach, הסכת האקטואליה החדש מבית כאן חדשות, זמין באתר וביישומון כאן ובכל יישומוני ההסכתים עיצוב AI: @talfraz",https://www.instagram.com/reel/Da9rAqjjx6S/,78854,52277,2261,74,88,414,לא,18015571403714425
2026-07-19,09:45,לא,קרוסלה,"שחקן השדה המבוגר ביותר שזוכה במונדיאל והישג שלא נראה מאז פלה: ההיסטוריה שמסי וארגנטינה יכולים לכתוב הערב @shalevsegal_ 📸: AP, רויטרס",https://www.instagram.com/p/Da9wHE6ggpl/,227430,116821,5231,147,216,506,לא,18121745509824329
2026-07-19,14:11,כן,ריל,"ב-2022 חגגו כאן מיליונים את הזכייה במונדיאל: הערב, מול ספרד, בירת ארגנטינה שוב מחזיקה נשימה ומחכה לראות אם הטירוף חוזר לרחובות @yoav.zehavi, שליח כאן חדשות לבואנוס איירס 📸: רויטרס",https://www.instagram.com/reel/Da-OKoIikTz/,90283,61207,1949,27,61,109,לא,18019772240698688
2026-07-19,17:13,כן,ריל,"איך אומרים מסי בקופיפית? אחרי שחזה במדויק את הניצחונות של ספרד וארגנטינה על יריבותיהן בחצאי הגמר, עידו קוף הטמרין מהספארי ברמת גן שם את כל הבוטנים על ניצחון לארגנטינה. עכשיו נצטרך לחכות כמה שעות לגמר כדי לראות אם פעם נוספת - הקוף צדק",https://www.instagram.com/reel/Da-i2KrCaPf/,94215,68806,1333,33,60,538,לא,18102106406586305
2026-07-19,17:43,כן,ריל,"16 שנה אחרי הזכייה האחרונה: ספרד שוב מרגישה קרובה לגביע העולם. ברחובות מדריד כבר בטוחים - גם מסי וארגנטינה לא יעצרו את החלום על גביע נוסף דב גיל-הר, שליח כאן חדשות למדריד",https://www.instagram.com/reel/Da-mySrFDqJ/,26246,18660,225,9,13,5,לא,17909009532260061
2026-07-20,01:02,לא,תמונה,"16 שנה אחרי, ספרד חזרה לפסגת העולם: אלופת אירופה ניצחה 0:1 את ארגנטינה ומסי בהארכה וזכתה במונדיאל בפעם השנייה בתולדותיה. פראן טורס כבש את שער הניצחון בדקה ה-106, מול ארגנטינה שנותרה בעשרה שחקנים @yoavborowitz 📸: Reuters/Kai Pfaffenbach",https://www.instagram.com/p/Da_ZFtnlYHR/,109044,57279,1300,160,32,70,לא,18102168203133083
2026-07-20,16:34,כן,ריל,"המנטליסט שימי אטיאס הגיע לאולפן שלנו ביום שישי, כתב את הנבואה שלו לתוצאת גמר המונדיאל והכניס למעטפה סגורה. האם הוא צדק? #גליקותמר @ifatglick@almogtamarar",https://www.instagram.com/reel/DbBDsoxkv6r/,226738,147562,2468,158,99,506,לא,18385594990207696
2026-07-20,22:24,לא,תמונה,"ליאו מסי התייחס לראשונה להפסד של ארגנטינה בגמר המונדיאל: ""הכאב הוא עצום, וייקח זמן עד שהפצע הזה יגליד. אבל אני גם אאחז בכל הזיכרונות הטובים ובתמיכה של מדינה שלמה. העבודה הקשה של הנבחרת שלנו החזירה אותנו, שוב, להיות בין הטובות בעולם"" @itamar.margalit 📸: AP Photo/Pamela Smith",https://www.instagram.com/p/DbBr2XJEccv/,52759,29250,1420,33,23,22,לא,18107568986098608
2026-07-22,13:56,כן,ריל,המנטליסט אביב דורה הצליח להדהים אפילו את איילה עם ניבוי מדויק של גמר המונדיאל (אילה חסון),https://www.instagram.com/reel/DbF7LydCNL2/,45098,31768,515,42,26,62,לא,18092333051624679
2026-07-30,20:30,לא,תמונה,"אירופה מאיימת להשאיר את המונדיאל בלי הנבחרות שלה 👇 55 ההתאחדויות החברות באופ""א, ובהן ישראל, הודיעו כי לא ישתתפו בתחרויות פיפ""א כל עוד התוכנית להכניס משקיעים פרטיים לעסקי המונדיאל נותרת על הפרק. המהלך, שגובש בסיוע בנק ג'יי.פי מורגן, כולל מכירת נתח מהישות המסחרית שתנהל את זכויות המונדיאל ותחרויות נוספות, בין היתר למיליארדר ג'וש קושנר, אחיו של חתנו של נשיא ארה""ב דונלד טראמפ. באופ""א הבהירו: ""המונדיאל אינו למכירה"". התוכנית מבטיחה להזרים מיליארדים לכדורגל העולמי, אך כוללת גם יותר טורנירים ועלייה במחירי הכרטיסים. באירופה דורשים מפיפ""א לבטל אותה לחלוטין, ומזהירים כי עד אז הנבחרות האירופיות יישארו בחוץ. @yoavborowitz @ramelibrandts 📸: Tony Gutierrez/AP ;Dylan Martinez, Carlos Barria/Reuters",https://www.instagram.com/p/DbbOv4iDIqw/,93429,53629,830,8,29,36,כן,18028121222846472
